Variable,gene,emmean,SE,df,lower.CL,upper.CL,.group
no.leaves,G4,6.812499999999988,0.7006988665696734,41.7196531989866,5.398150868421811,8.226849131578165,d
stem.length,G3,46.140625,3.4947137727345807,42.245005506143514,39.08921867114984,53.19203132885016,a
stem.length,G1,44.912499999999916,3.4947137727345803,42.24500550614319,37.86109367114975,51.96390632885008,ab
stem.length,G6,43.37499999999999,3.4947137727345807,42.24500550614362,36.32359367114983,50.426406328850156,abc
stem.length,G2,38.105080378751886,3.575418475203362,44.8222831564478,30.903029762820957,45.307130994682815,bc
stem.length,G4,36.828125,3.4947137727345825,42.2450055061434,29.77671867114983,43.87953132885017,c
stem.length,G5,36.381249999999994,3.4947137727345794,42.24500550614362,29.329843671149835,43.43265632885015,c
total.leaf.area,G4,49.782706250000004,4.8451366484933,52.975126625810134,40.06448630298449,59.50092619701552,a
total.leaf.area,G3,34.87544125,4.845136648493302,52.975126625809956,25.157221302984485,44.59366119701552,b
total.leaf.area,G1,33.17837625000001,4.845136648493306,52.975126625810134,23.460156302984483,42.896596197015526,b
total.leaf.area,G6,28.79699614583333,4.845136648493302,52.975126625810134,19.078776198817813,38.515216092848846,b
total.leaf.area,G5,28.522896249999995,4.845136648493301,52.975126625810134,18.804676302984483,38.24111619701551,b
total.leaf.area,G2,27.71910718914275,4.976231608479081,55.83016325460869,17.749848173129898,37.6883662051556,b
mla,G4,7.276245625000003,0.41031589068132945,82.9217301760564,6.4601324289418764,8.092358821058129,a
mla,G1,3.2433437500000046,0.4103158906813296,82.9217301760564,2.427230553941878,4.059456946058131,b
mla,G5,3.1215939583333334,0.4103158906813295,82.9217301760564,2.3054807622752067,3.93770715439146,b
mla,G6,2.9860536458333327,0.4103158906813297,82.92173017605593,2.169940449775206,3.8021668418914594,b
mla,G2,2.9734084814856474,0.4253563864104374,82.94091113197155,2.1273828230066645,3.8194341399646303,b
mla,G3,2.7636124999999994,0.41031589068132984,82.92173017605593,1.9474993039418722,3.5797256960581265,b
sla,G4,391.3162711728908,30.333318106770218,82.58532150510072,330.98004100418314,451.6525013415985,a
sla,G6,351.73867459779143,30.33331810677022,82.58532150510072,291.40244442908374,412.0749047664991,ab
sla,G2,345.49046577869206,31.437970009589222,82.68330836375523,282.9580657711757,408.0228657862084,ab
sla,G5,324.75690591173264,30.333318106770232,82.58532150510072,264.42067574302496,385.09313608044033,ab
sla,G1,320.94423129035204,30.333318106770186,82.58532150510027,260.6080011216444,381.28046145905967,ab
sla,G3,290.54973995547346,30.333318106770243,82.58532150510072,230.2135097867657,350.8859701241812,b
ratio,G5,0.14258753197129648,0.0076767262776798765,75.86914080852009,0.12729758002595482,0.15787748391663814,a
ratio,G6,0.13989310717085704,0.007676726277679879,75.8691408085197,0.12460315522551536,0.15518305911619873,a
ratio,G1,0.1302116296744193,0.0076767262776798765,75.8691408085178,0.11492167772907762,0.14550158161976098,a
