Variable,gene,emmean,SE,df,lower.CL,upper.CL,.group
no.ramets,G6,5.910358447815536,0.34801902757228587,42.272971830567734,5.208161952646782,6.61255494298429,a
no.ramets,G2,5.864473380099452,0.36766497801664405,47.25190139305662,5.124930920775562,6.604015839423342,a
no.ramets,G5,5.410579614919788,0.3439777722111466,40.53398714432636,4.7156597826390705,6.105499447200506,a
no.ramets,G3,5.3977028904270075,0.3402516017350162,39.11197294412726,4.709542055437312,6.0858637254167025,a
no.ramets,G4,5.040774911919195,0.551638175007304,101.67750129512132,3.9465615505439704,6.13498827329442,a
no.leaves,G6,2.978021978021978,0.253416494903337,91.91257057709721,2.4747085660026618,3.4813353900412944,a
no.leaves,G1,2.9560439560439558,0.2528514635688896,95.6731196805267,2.4541158820629434,3.457972030024968,a
no.leaves,G2,2.883333333333333,0.26952980627028383,92.42324926506215,2.348056533810597,3.4186101328560685,ab
no.leaves,G5,2.6025641025641026,0.24960508639433393,88.24435478742402,2.106545587534931,3.0985826175932742,ab
no.leaves,G3,2.201923076923077,0.24609801097528824,85.35624305955729,1.7126437791658788,2.6912023746802753,bc
no.leaves,G4,1.5,0.4290655993060418,121.0578868732808,0.6505555771768652,2.349444422823135,c
stem.length,G6,8.62286965158968,1.013486405963561,22.281153277851878,6.522564150588016,10.723175152591343,a
stem.length,G1,7.840179486633631,1.0097258078704845,22.20860045539988,5.747276128578438,9.933082844688824,ab
stem.length,G2,7.243127827628357,1.0569494071969583,25.394942595248946,5.068015082002303,9.418240573254412,ab
stem.length,G3,7.015344133934226,0.9969390065301904,20.957573351064255,4.941840383360784,9.088847884507668,ab
stem.length,G5,6.385432580671138,1.0049995761293347,21.56909830033612,4.298774212916909,8.472090948425366,b
stem.length,G4,5.871326496670656,1.4724754891927119,67.33318679785887,2.9325204323104677,8.810132561030844,ab
total.leaf.area,G1,4.4259613214982485,0.5924539390596333,53.29805532195351,3.2378043133970236,5.614118329599473,a
total.leaf.area,G6,3.879305108756238,0.5947119835407201,52.22306223243488,2.6860495250615255,5.07256069245095,a
total.leaf.area,G4,3.6435815419325386,0.9629921486893975,109.13545005196085,1.73498899700579,5.552174086859287,ab
total.leaf.area,G2,3.0249629311189463,0.6301290657454296,57.117920883750735,1.7632076969318973,4.286718165305995,ab
total.leaf.area,G5,2.9510931526417417,0.5872408741407581,50.00039897529339,1.7715853770835328,4.13060092819995,ab
total.leaf.area,G3,2.1565031625207554,0.580411307284232,48.193232906218796,0.9896288831252584,3.3233774419162523,b
mla,G4,2.360105089913647,0.24110042513290883,103.7117680704052,1.8819782601990644,2.83823191962823,a
mla,G1,1.301944061303646,0.15066168193864252,45.20461931496543,0.9985337637421707,1.6053543588651211,b
