Variable,gene,contrast,estimate,SE,t.ratio,df,p.value,stars
total.leaf.area,G1,Control - Herbivory,-1.5775437300718533,1.1849078781192666,-1.331364031924401,53.29805532195208,0.1887359353735579,ns
total.leaf.area,G2,Control - Herbivory,-1.6429453268972654,1.2602581314908592,-1.3036577871183384,57.117920883750735,0.19758035430501972,ns
total.leaf.area,G3,Control - Herbivory,-0.45219732782808175,1.1608226145684641,-0.3895490337222506,48.193232906218945,0.698586214053386,ns
total.leaf.area,G4,Control - Herbivory,3.1418880996029666,1.9259842973787946,1.6313155324677255,109.13545005196085,0.10570624460626876,ns
total.leaf.area,G5,Control - Herbivory,-1.7782048838516733,1.1744817482815166,-1.5140336462899615,50.00039897529339,0.13631349634383555,ns
total.leaf.area,G6,Control - Herbivory,-2.453370441270148,1.1894239670814402,-2.0626542840650237,52.22306223243488,0.04413488139412372,*
mla,G1,Control - Herbivory,-0.4022548452477365,0.30132336387728487,-1.3349606883174063,45.20461931496392,0.18857374416746253,ns
mla,G2,Control - Herbivory,-0.44730400114188484,0.3198530266582803,-1.398467307985704,49.56474416782339,0.1681987946812894,ns
mla,G3,Control - Herbivory,-0.05488719591880775,0.29563848665272485,-0.1856564635418447,41.18754689095886,0.8536254794495097,ns
mla,G4,Control - Herbivory,0.48797372650475407,0.48220085026581794,1.011971932931586,103.7117680704052,0.31390659887022015,ns
mla,G5,Control - Herbivory,-0.6842778351213927,0.29893679057007766,-2.289038541614309,42.69937506668576,0.027085781713213696,*
mla,G6,Control - Herbivory,-0.2016622951761739,0.30252226469693316,-0.6666031519306495,44.55180205226453,0.5084632665125317,ns
sla,G1,Control - Herbivory,231.44212132646555,677.8578115417282,0.3414316651453359,75.82645464584002,0.7337230070897122,ns
sla,G2,Control - Herbivory,-742.3634566923558,722.7186463023378,-1.027181823093298,76.43866915871052,0.3075744075068566,ns
sla,G3,Control - Herbivory,115.67251900704377,661.7326670540325,0.1748024916496963,67.70464430744994,0.8617565187683844,ns
sla,G4,Control - Herbivory,-4797.359075384993,1133.2677291780094,-4.2332089336600545,117.4611195476946,4.595810172052243e-5,***
sla,G5,Control - Herbivory,737.3179870033316,670.4111514492024,1.099799705612741,70.22488004210086,0.27517535152660116,ns
sla,G6,Control - Herbivory,294.0523782662138,679.960433424098,0.43245513093378835,73.33544866753842,0.6666797026440537,ns
ratio,G1,Control - Herbivory,0.013019106650385947,0.10857087558621308,0.1199134351647357,72.29055338084424,0.9048843599852507,ns
ratio,G2,Control - Herbivory,0.3261481061728411,0.11573702153638286,2.8180101910633137,73.52819277112202,0.006203365254733344,**
ratio,G3,Control - Herbivory,0.04009016401421649,0.1060439418131756,0.3780523745981255,64.62441424239074,0.7066306509673694,ns
ratio,G4,Control - Herbivory,-0.03152467702559681,0.18089145706201842,-0.17427399578515537,116.56014819618478,0.8619524642176987,ns
ratio,G5,Control - Herbivory,0.057117458372518144,0.10741391587120673,0.5317510111166983,67.0473954780575,0.5966559997727032,ns
ratio,G6,Control - Herbivory,-0.0402431039211292,0.10892173487189939,-0.36946807694954814,70.03466384156161,0.7128936597898499,ns
